Skills,Experience_Level,Description,Budget_Project
"Marketing & SEO: google analytics, b2b marketing; General: ",Entry Level,"Entry Level Marketing & SEO professional with experience in google analytics, b2b marketing.",$135-$787
"Business & Consulting: leadership skills, business analysis; General: ",Entry Level,"Entry Level Business & Consulting professional with experience in leadership skills, business analysis.",$262-$859
"Mobile Development: hybrid app development, kotlin, ionic framework; General: api, agile",Intermediate,"Intermediate Mobile Development professional with experience in hybrid app development, kotlin, ionic framework.",$580-$1660
"Data Science: analytics, looker, data processing; General: project management, agile",Expert,"Expert Data Science professional with experience in analytics, looker, data processing.",$4618-$9196
"Database Management: database design, database administration, sql; General: ",Intermediate,"Intermediate Database Management professional with experience in database design, database administration, sql.",$995-$2058
"Cybersecurity: encryption, security infrastructure; General: agile, project management",Intermediate,"Intermediate Cybersecurity professional with experience in encryption, security infrastructure.",$636-$1930
"Education & Training: presentation design, training online lms, teaching english, academic proofreading; General: ",Entry Level,"Entry Level Education & Training professional with experience in presentation design, training online lms, teaching english, academic proofreading.",$135-$918
"Translation & Languages: russian, translation; General: project management",Entry Level,"Entry Level Translation & Languages professional with experience in russian, translation.",$388-$823
"Project Management: project delivery, project timelines, change management, digital project management; General: ",Intermediate,"Intermediate Project Management professional with experience in project delivery, project timelines, change management, digital project management.",$1465-$1942
"Graphic & Visual Design: adobe dreamweaver, visual communication, adobe after effects; General: git, sql",Entry Level,"Entry Level Graphic & Visual Design professional with experience in adobe dreamweaver, visual communication, adobe after effects.",$242-$697
"Cybersecurity: information security, security assessment & testing, personal information protection & electronic documents act; General: git, api",Entry Level,"Entry Level Cybersecurity professional with experience in information security, security assessment & testing, personal information protection & electronic documents act.",$314-$567
"Data Science: machine learning model, tableau, exploratory data analysis, data visualization; General: ",Expert,"Expert Data Science professional with experience in machine learning model, tableau, exploratory data analysis, data visualization.",$2271-$5104
"UI/UX Design: responsive design, ux copy; General: agile",Intermediate,"Intermediate UI/UX Design professional with experience in responsive design, ux copy.",$745-$1541
"DevOps: infrastructure management, azure devops, openshift, azure openai; General: ",Intermediate,"Intermediate DevOps professional with experience in infrastructure management, azure devops, openshift, azure openai.",$1014-$2601
"Web Development: virtual reality, restful api, interactive design, wordpress; General: project management, api",Intermediate,"Intermediate Web Development professional with experience in virtual reality, restful api, interactive design, wordpress.",$782-$1715
"Data Science: data analytics, model tuning, tensorflow; General: ",Intermediate,"Intermediate Data Science professional with experience in data analytics, model tuning, tensorflow.",$1088-$2821
"Data Science: data scraping, data analysis; General: project management, git",Entry Level,"Entry Level Data Science professional with experience in data scraping, data analysis.",$487-$734
"Education & Training: educational technology, bilingual education, training online lms; General: project management",Intermediate,"Intermediate Education & Training professional with experience in educational technology, bilingual education, training online lms.",$659-$1742
"Mobile Development: mobile app design, android app development; General: api, agile",Entry Level,"Entry Level Mobile Development professional with experience in mobile app design, android app development.",$477-$847
"Graphic & Visual Design: visual presentation design, adobe illustrator, 2d design, 3d illustration; General: git",Entry Level,"Entry Level Graphic & Visual Design professional with experience in visual presentation design, adobe illustrator, 2d design, 3d illustration.",$132-$895
"Business & Consulting: business analysis, leadership skills, organizational behavior, business valuation; General: agile",Entry Level,"Entry Level Business & Consulting professional with experience in business analysis, leadership skills, organizational behavior, business valuation.",$185-$726
"Graphic & Visual Design: 3d texturing, adobe premiere pro, print design; General: ",Intermediate,"Intermediate Graphic & Visual Design professional with experience in 3d texturing, adobe premiere pro, print design.",$1220-$2606
"Marketing & SEO: facebook pixel setup & optimization, conversion rate optimization, seo strategy; General: sql",Intermediate,"Intermediate Marketing & SEO professional with experience in facebook pixel setup & optimization, conversion rate optimization, seo strategy.",$662-$2177
"Mobile Development: iphone ui design, mobile ui designer; General: project management, git",Expert,"Expert Mobile Development professional with experience in iphone ui design, mobile ui designer.",$4126-$6150
"Business & Consulting: business strategy, relationship management, corporate strategy, brand consulting; General: ",Entry Level,"Entry Level Business & Consulting professional with experience in business strategy, relationship management, corporate strategy, brand consulting.",$105-$644
"Web Development: web scraping plugin, webgl; General: ",Intermediate,"Intermediate Web Development professional with experience in web scraping plugin, webgl.",$578-$2071
"Marketing & SEO: marketing analytics, youtube marketing; General: git",Intermediate,"Intermediate Marketing & SEO professional with experience in marketing analytics, youtube marketing.",$764-$1958
"Education & Training: learning management system, bilingual education; General: sql",Entry Level,"Entry Level Education & Training professional with experience in learning management system, bilingual education.",$458-$975
"Translation & Languages: portuguese, english to polish translation, spanish; General: api, project management",Expert,"Expert Translation & Languages professional with experience in portuguese, english to polish translation, spanish.",$4395-$5864
"Project Management: project objectives, project management office; General: git, project management",Expert,"Expert Project Management professional with experience in project objectives, project management office.",$4555-$6132
"Graphic & Visual Design: photo editing, adobe after effects, 3d rendering; General: agile",Entry Level,"Entry Level Graphic & Visual Design professional with experience in photo editing, adobe after effects, 3d rendering.",$420-$908
"UI/UX Design: user experience strategy, adobe xd, wireframing, visual communication; General: ",Expert,"Expert UI/UX Design professional with experience in user experience strategy, adobe xd, wireframing, visual communication.",$4234-$5967
"Graphic & Visual Design: 3d texturing, image enhancement; General: project management",Intermediate,"Intermediate Graphic & Visual Design professional with experience in 3d texturing, image enhancement.",$1426-$2180
"DevOps: aws cloudformation, ansible, devops engineering, deployment automation; General: ",Intermediate,"Intermediate DevOps professional with experience in aws cloudformation, ansible, devops engineering, deployment automation.",$1208-$1799
"Marketing & SEO: marketing analytics, google tag manager, social media engagement, b2b marketing; General: agile, api",Entry Level,"Entry Level Marketing & SEO professional with experience in marketing analytics, google tag manager, social media engagement, b2b marketing.",$385-$793
"DevOps: azure iot hub, jenkins, gitlab, azure openai; General: api, git",Expert,"Expert DevOps professional with experience in azure iot hub, jenkins, gitlab, azure openai.",$3769-$5063
"DevOps: automation, azure iot hub, gitlab, azure devops; General: agile",Entry Level,"Entry Level DevOps professional with experience in automation, azure iot hub, gitlab, azure devops.",$299-$630
"Project Management: project scheduling, project management office, team management; General: ",Expert,"Expert Project Management professional with experience in project scheduling, project management office, team management.",$3482-$6597
"Education & Training: career coaching, training design, higher education, course; General: agile",Entry Level,"Entry Level Education & Training professional with experience in career coaching, training design, higher education, course.",$150-$600
"Database Management: postgresql, mongodb, microsoft sql server administration, sql; General: ",Entry Level,"Entry Level Database Management professional with experience in postgresql, mongodb, microsoft sql server administration, sql.",$192-$872
"Translation & Languages: german to english translation, czech to english translation, russian to english translation; General: git",Entry Level,"Entry Level Translation & Languages professional with experience in german to english translation, czech to english translation, russian to english translation.",$257-$1000
"Translation & Languages: english to thai translation, english to vietnamese translation, dutch; General: api",Intermediate,"Intermediate Translation & Languages professional with experience in english to thai translation, english to vietnamese translation, dutch.",$1493-$2985
"Education & Training: exam preparation, academic writing, bilingual education; General: agile",Expert,"Expert Education & Training professional with experience in exam preparation, academic writing, bilingual education.",$1538-$8970
"Data Science: feature extraction, supervised learning, data scraping, hypothesis testing; General: project management, git",Expert,"Expert Data Science professional with experience in feature extraction, supervised learning, data scraping, hypothesis testing.",$4605-$9380
"Web Development: api documentation, web hosting, jinja2; General: git, sql",Expert,"Expert Web Development professional with experience in api documentation, web hosting, jinja2.",$3485-$7300
"Writing & Content Creation: technical writing, copywriting, content planning, content audit; General: project management",Intermediate,"Intermediate Writing & Content Creation professional with experience in technical writing, copywriting, content planning, content audit.",$946-$2023
"Data Science: support vector machine, artificial intelligence, rapidminer; General: ",Intermediate,"Intermediate Data Science professional with experience in support vector machine, artificial intelligence, rapidminer.",$1389-$2196
"Education & Training: academic writing, course, learning management system, life coaching; General: git",Expert,"Expert Education & Training professional with experience in academic writing, course, learning management system, life coaching.",$1587-$7335
"Data Science: exploratory data analysis, data science, big data, data scraping; General: project management",Intermediate,"Intermediate Data Science professional with experience in exploratory data analysis, data science, big data, data scraping.",$687-$2099
"UI/UX Design: user research, user experience design; General: api",Expert,"Expert UI/UX Design professional with experience in user research, user experience design.",$4331-$9086
"Writing & Content Creation: speech writing, technical writing, content writing; General: ",Intermediate,"Intermediate Writing & Content Creation professional with experience in speech writing, technical writing, content writing.",$594-$2733
"Business & Consulting: business plan, company research; General: ",Intermediate,"Intermediate Business & Consulting professional with experience in business plan, company research.",$1447-$2013
"Project Management: project delivery, project management office; General: ",Entry Level,"Entry Level Project Management professional with experience in project delivery, project management office.",$434-$755
"Business & Consulting: corporate strategy, business process automation; General: agile",Expert,"Expert Business & Consulting professional with experience in corporate strategy, business process automation.",$4122-$9170
"Translation & Languages: persian to english translation, english to portuguese translation, chinese; General: ",Expert,"Expert Translation & Languages professional with experience in persian to english translation, english to portuguese translation, chinese.",$3879-$7445
"Business & Consulting: price & quote negotiation, business analysis, business management, leadership skills; General: ",Expert,"Expert Business & Consulting professional with experience in price & quote negotiation, business analysis, business management, leadership skills.",$4656-$8133
"Writing & Content Creation: academic writing, creative writing, content analysis, fiction writing; General: ",Entry Level,"Entry Level Writing & Content Creation professional with experience in academic writing, creative writing, content analysis, fiction writing.",$334-$765
"Education & Training: coaching, higher education; General: git, api",Intermediate,"Intermediate Education & Training professional with experience in coaching, higher education.",$1205-$2478
"Education & Training: academic research, academic editing, learning management system; General: ",Expert,"Expert Education & Training professional with experience in academic research, academic editing, learning management system.",$3640-$7465
"Translation & Languages: danish to english translation, indonesian to english translation; General: project management",Entry Level,"Entry Level Translation & Languages professional with experience in danish to english translation, indonesian to english translation.",$288-$830
"Data Science: snowflake, linear regression, data scraping, analytics; General: api",Entry Level,"Entry Level Data Science professional with experience in snowflake, linear regression, data scraping, analytics.",$335-$986
"Business & Consulting: business services, business analysis, interpersonal skills; General: git, sql",Intermediate,"Intermediate Business & Consulting professional with experience in business services, business analysis, interpersonal skills.",$674-$2938
"Business & Consulting: strategy, business intelligence software, leadership skills; General: agile",Expert,"Expert Business & Consulting professional with experience in strategy, business intelligence software, leadership skills.",$4571-$5051
"Education & Training: teaching english, academic proofreading, teaching, training presentation; General: agile, project management",Expert,"Expert Education & Training professional with experience in teaching english, academic proofreading, teaching, training presentation.",$4202-$8875
"Web Development: virtual reality, node.js, wordpress plugin, laravel; General: sql",Entry Level,"Entry Level Web Development professional with experience in virtual reality, node.js, wordpress plugin, laravel.",$147-$735
"Cybersecurity: cybersecurity management, personal information protection & electronic documents act, network security; General: ",Entry Level,"Entry Level Cybersecurity professional with experience in cybersecurity management, personal information protection & electronic documents act, network security.",$247-$654
"Mobile Development: swift, mobile app development; General: ",Intermediate,"Intermediate Mobile Development professional with experience in swift, mobile app development.",$1399-$2993
"Mobile Development: android sdk, flutter, mobile app improvement; General: api",Entry Level,"Entry Level Mobile Development professional with experience in android sdk, flutter, mobile app improvement.",$458-$642
"Translation & Languages: albanian, english to hindi translation, english to czech translation, hebrew; General: ",Expert,"Expert Translation & Languages professional with experience in albanian, english to hindi translation, english to czech translation, hebrew.",$3618-$6897
"Business & Consulting: relationship management, company research, organizational behavior, business process automation; General: agile, sql",Intermediate,"Intermediate Business & Consulting professional with experience in relationship management, company research, organizational behavior, business process automation.",$1028-$2853
"Translation & Languages: japanese, hebrew to english translation, german to english translation; General: git, agile",Entry Level,"Entry Level Translation & Languages professional with experience in japanese, hebrew to english translation, german to english translation.",$267-$614
"Mobile Development: android app development, swift, native app development; General: agile, project management",Entry Level,"Entry Level Mobile Development professional with experience in android app development, swift, native app development.",$210-$630
"Project Management: agile project management, project finance; General: sql",Expert,"Expert Project Management professional with experience in agile project management, project finance.",$1880-$6125
"Graphic & Visual Design: 2d illustration, print design, adobe illustrator, package graphics; General: ",Intermediate,"Intermediate Graphic & Visual Design professional with experience in 2d illustration, print design, adobe illustrator, package graphics.",$1209-$1893
"Translation & Languages: english to japanese translation, indonesian to english translation, translation; General: ",Intermediate,"Intermediate Translation & Languages professional with experience in english to japanese translation, indonesian to english translation, translation.",$1002-$1953
"Writing & Content Creation: speech writing, creative writing; General: api",Intermediate,"Intermediate Writing & Content Creation professional with experience in speech writing, creative writing.",$678-$2627
"Project Management: project delivery, team management, kanban methodology, project management; General: sql, project management",Intermediate,"Intermediate Project Management professional with experience in project delivery, team management, kanban methodology, project management.",$1143-$2751
"Database Management: transact-sql, database programming; General: git, sql",Entry Level,"Entry Level Database Management professional with experience in transact-sql, database programming.",$57-$534
"Translation & Languages: english to vietnamese translation, persian; General: project management",Entry Level,"Entry Level Translation & Languages professional with experience in english to vietnamese translation, persian.",$67-$776
"Writing & Content Creation: content development, content seo; General: sql",Intermediate,"Intermediate Writing & Content Creation professional with experience in content development, content seo.",$1329-$1590
"Mobile Development: mobile app testing, mobile app development, flutter; General: sql",Expert,"Expert Mobile Development professional with experience in mobile app testing, mobile app development, flutter.",$4821-$9369
"Cybersecurity: source code scanning, firewall, ethical hacking; General: sql",Intermediate,"Intermediate Cybersecurity professional with experience in source code scanning, firewall, ethical hacking.",$568-$2504
"Web Development: web development, css, api integration; General: ",Expert,"Expert Web Development professional with experience in web development, css, api integration.",$3011-$6160
"Data Science: quantitative analysis, data cleansing; General: project management, sql",Expert,"Expert Data Science professional with experience in quantitative analysis, data cleansing.",$3445-$6071
"Mobile Development: mobile app development, hybrid app development; General: git",Entry Level,"Entry Level Mobile Development professional with experience in mobile app development, hybrid app development.",$500-$767
"Translation & Languages: german, ukrainian to english translation, swedish, english to persian translation; General: api",Intermediate,"Intermediate Translation & Languages professional with experience in german, ukrainian to english translation, swedish, english to persian translation.",$1186-$2517
"Web Development: website, dbt, html2text, mysql; General: ",Expert,"Expert Web Development professional with experience in website, dbt, html2text, mysql.",$2613-$6224
"Cybersecurity: source code scanning, web application security, network security; General: sql",Expert,"Expert Cybersecurity professional with experience in source code scanning, web application security, network security.",$2975-$7909
"Project Management: project scheduling, project management; General: ",Expert,"Expert Project Management professional with experience in project scheduling, project management.",$1647-$9297
"DevOps: azure devops server, serverless computing, azure cosmos db, automation; General: project management",Intermediate,"Intermediate DevOps professional with experience in azure devops server, serverless computing, azure cosmos db, automation.",$1389-$2989
"Graphic & Visual Design: visual communication, 2d illustration; General: sql, git",Entry Level,"Entry Level Graphic & Visual Design professional with experience in visual communication, 2d illustration.",$405-$992
"Writing & Content Creation: content guidelines, fiction writing, ebook writing, ghostwriting; General: project management, sql",Expert,"Expert Writing & Content Creation professional with experience in content guidelines, fiction writing, ebook writing, ghostwriting.",$1961-$5616
"UI/UX Design: ux copy, prototyping, ux & ui; General: agile, project management",Intermediate,"Intermediate UI/UX Design professional with experience in ux copy, prototyping, ux & ui.",$820-$2125
"Marketing & SEO: email marketing, google ad manager; General: git, agile",Intermediate,"Intermediate Marketing & SEO professional with experience in email marketing, google ad manager.",$1070-$2392
"Education & Training: bilingual education, course, academic editing; General: sql, project management",Intermediate,"Intermediate Education & Training professional with experience in bilingual education, course, academic editing.",$772-$2931
"Data Science: data wrangling, data segmentation, google data studio, deep learning; General: ",Entry Level,"Entry Level Data Science professional with experience in data wrangling, data segmentation, google data studio, deep learning.",$137-$507
"Translation & Languages: english to norwegian translation, russian to english translation; General: git, api",Expert,"Expert Translation & Languages professional with experience in english to norwegian translation, russian to english translation.",$2094-$7156
"DevOps: azure blockchain service, cloud implementation, automation, azure machine learning; General: ",Entry Level,"Entry Level DevOps professional with experience in azure blockchain service, cloud implementation, automation, azure machine learning.",$207-$762
"Graphic & Visual Design: vector graphic, logo design, image enhancement, 3d design; General: git",Expert,"Expert Graphic & Visual Design professional with experience in vector graphic, logo design, image enhancement, 3d design.",$4257-$5263
"Project Management: lean consulting, requirements specification, team management; General: project management, git",Entry Level,"Entry Level Project Management professional with experience in lean consulting, requirements specification, team management.",$65-$628
"Education & Training: bilingual education, exam preparation, training, educational technology; General: ",Expert,"Expert Education & Training professional with experience in bilingual education, exam preparation, training, educational technology.",$3405-$9355
"Mobile Development: android, iphone ui design; General: sql, project management",Intermediate,"Intermediate Mobile Development professional with experience in android, iphone ui design.",$875-$2364
"Database Management: sql programming, mariadb; General: agile",Intermediate,"Intermediate Database Management professional with experience in sql programming, mariadb.",$989-$2653
"Database Management: transact-sql, database programming, microsoft sql server administration, mariadb; General: agile, project management",Expert,"Expert Database Management professional with experience in transact-sql, database programming, microsoft sql server administration, mariadb.",$3440-$7240
"Cybersecurity: security policies & procedures documentation, penetration testing, information security; General: sql",Expert,"Expert Cybersecurity professional with experience in security policies & procedures documentation, penetration testing, information security.",$2096-$5476
"Data Science: artificial intelligence, python, data analytics, data scraping; General: sql, project management",Entry Level,"Entry Level Data Science professional with experience in artificial intelligence, python, data analytics, data scraping.",$283-$974
"Graphic & Visual Design: visual presentation design, package graphics; General: ",Intermediate,"Intermediate Graphic & Visual Design professional with experience in visual presentation design, package graphics.",$942-$2128
"Education & Training: course, executive coaching; General: api, project management",Expert,"Expert Education & Training professional with experience in course, executive coaching.",$3896-$6213
"Business & Consulting: business writing, business strategy, business services; General: api, project management",Entry Level,"Entry Level Business & Consulting professional with experience in business writing, business strategy, business services.",$284-$784
"Translation & Languages: thai to english translation, spanish; General: ",Entry Level,"Entry Level Translation & Languages professional with experience in thai to english translation, spanish.",$51-$724
"DevOps: azure iot hub, aws cloudfront, azure devops server; General: ",Intermediate,"Intermediate DevOps professional with experience in azure iot hub, aws cloudfront, azure devops server.",$959-$2142
"Mobile Development: mobile app testing, android sdk, ios; General: git",Expert,"Expert Mobile Development professional with experience in mobile app testing, android sdk, ios.",$3929-$8647
"Data Science: visualization, classification, dashboard; General: git, api",Intermediate,"Intermediate Data Science professional with experience in visualization, classification, dashboard.",$1049-$2996
"Mobile Development: mobile app design, kotlin, mobile app improvement, ionic framework; General: ",Expert,"Expert Mobile Development professional with experience in mobile app design, kotlin, mobile app improvement, ionic framework.",$3192-$6149
"Web Development: restful api, web hosting; General: agile",Expert,"Expert Web Development professional with experience in restful api, web hosting.",$2290-$7819
"Graphic & Visual Design: photo restoration, concept artistry, digital design; General: project management, sql",Intermediate,"Intermediate Graphic & Visual Design professional with experience in photo restoration, concept artistry, digital design.",$1393-$1750
"Data Science: deep learning modeling, support vector machine, model optimization; General: ",Entry Level,"Entry Level Data Science professional with experience in deep learning modeling, support vector machine, model optimization.",$70-$716
"UI/UX Design: design enhancement, ux & ui, adobe xd; General: git, api",Intermediate,"Intermediate UI/UX Design professional with experience in design enhancement, ux & ui, adobe xd.",$1372-$2058
"Translation & Languages: english to japanese translation, czech to english translation, japanese; General: project management",Expert,"Expert Translation & Languages professional with experience in english to japanese translation, czech to english translation, japanese.",$3309-$9465
"Database Management: oracle database, oracle database administration, mongodb, database programming; General: agile",Intermediate,"Intermediate Database Management professional with experience in oracle database, oracle database administration, mongodb, database programming.",$1397-$2610
"UI/UX Design: mobile ui design, usability testing, design enhancement; General: sql",Expert,"Expert UI/UX Design professional with experience in mobile ui design, usability testing, design enhancement.",$4641-$7771
"Mobile Development: kotlin, ionic framework, iphone ui design, native app development; General: git",Intermediate,"Intermediate Mobile Development professional with experience in kotlin, ionic framework, iphone ui design, native app development.",$636-$2909
"Cybersecurity: information security consultation, cybersecurity management; General: git, project management",Intermediate,"Intermediate Cybersecurity professional with experience in information security consultation, cybersecurity management.",$503-$2646
"Database Management: oracle database administration, mongodb, data modeling; General: ",Intermediate,"Intermediate Database Management professional with experience in oracle database administration, mongodb, data modeling.",$597-$2650
"Cybersecurity: information security consultation, security policies & procedures documentation, cyber threat intelligence; General: sql, git",Expert,"Expert Cybersecurity professional with experience in information security consultation, security policies & procedures documentation, cyber threat intelligence.",$1982-$8262
"Mobile Development: android sdk, mobile ui designer, iphone ui design, mobile app improvement; General: ",Intermediate,"Intermediate Mobile Development professional with experience in android sdk, mobile ui designer, iphone ui design, mobile app improvement.",$1256-$2319
"Translation & Languages: hindi to english translation, vietnamese, german; General: project management",Entry Level,"Entry Level Translation & Languages professional with experience in hindi to english translation, vietnamese, german.",$119-$816
"Business & Consulting: company research, brand consulting; General: ",Entry Level,"Entry Level Business & Consulting professional with experience in company research, brand consulting.",$361-$958
"Marketing & SEO: analytics & tracking setup, social media optimization, community management; General: ",Expert,"Expert Marketing & SEO professional with experience in analytics & tracking setup, social media optimization, community management.",$3620-$7118
"Translation & Languages: english to french translation, english to malay translation, urdu, english to indonesian translation; General: ",Intermediate,"Intermediate Translation & Languages professional with experience in english to french translation, english to malay translation, urdu, english to indonesian translation.",$1160-$2801
"Translation & Languages: persian, english to indonesian translation, norwegian; General: sql, agile",Intermediate,"Intermediate Translation & Languages professional with experience in persian, english to indonesian translation, norwegian.",$1249-$1710
"Database Management: postgresql, data modeling; General: ",Intermediate,"Intermediate Database Management professional with experience in postgresql, data modeling.",$790-$1932
"Education & Training: research writer, higher education, life coaching, workshop facilitation; General: ",Intermediate,"Intermediate Education & Training professional with experience in research writer, higher education, life coaching, workshop facilitation.",$772-$2662
"Graphic & Visual Design: digital painting, digital art, 3d modeling; General: project management, sql",Intermediate,"Intermediate Graphic & Visual Design professional with experience in digital painting, digital art, 3d modeling.",$836-$2370
"Marketing & SEO: google ad manager, influencer marketing, instagram marketing; General: sql",Intermediate,"Intermediate Marketing & SEO professional with experience in google ad manager, influencer marketing, instagram marketing.",$1002-$2585
"Mobile Development: swift, mobile ui designer; General: api, project management",Intermediate,"Intermediate Mobile Development professional with experience in swift, mobile ui designer.",$1147-$1588
"Translation & Languages: portuguese, turkish, urdu; General: sql",Intermediate,"Intermediate Translation & Languages professional with experience in portuguese, turkish, urdu.",$523-$1692
"Translation & Languages: malay to english translation, english to norwegian translation, finnish, norwegian; General: git, sql",Intermediate,"Intermediate Translation & Languages professional with experience in malay to english translation, english to norwegian translation, finnish, norwegian.",$783-$1553
"Project Management: resource allocation, scrum, project management office, digital project management; General: agile, project management",Entry Level,"Entry Level Project Management professional with experience in resource allocation, scrum, project management office, digital project management.",$439-$612
"Translation & Languages: italian to english translation, polish to english translation, czech, english to turkish translation; General: ",Expert,"Expert Translation & Languages professional with experience in italian to english translation, polish to english translation, czech, english to turkish translation.",$4324-$7637
"Database Management: postgresql, sql server integration services, database architecture, sql programming; General: project management, agile",Intermediate,"Intermediate Database Management professional with experience in postgresql, sql server integration services, database architecture, sql programming.",$831-$2429
"UI/UX Design: responsive design, usability testing; General: git",Intermediate,"Intermediate UI/UX Design professional with experience in responsive design, usability testing.",$892-$2865
"Mobile Development: mobile ui designer, ios development; General: api",Intermediate,"Intermediate Mobile Development professional with experience in mobile ui designer, ios development.",$1065-$2943
"Database Management: sql, database programming; General: api, agile",Intermediate,"Intermediate Database Management professional with experience in sql, database programming.",$1428-$1757
"UI/UX Design: ux copy, user experience design, visual communication, ui/ux prototyping; General: ",Intermediate,"Intermediate UI/UX Design professional with experience in ux copy, user experience design, visual communication, ui/ux prototyping.",$1042-$2071
"Project Management: lean consulting, agile project management, milestones, project planning; General: project management, sql",Intermediate,"Intermediate Project Management professional with experience in lean consulting, agile project management, milestones, project planning.",$797-$2787
"Graphic & Visual Design: 3d texturing, image tracing; General: git",Entry Level,"Entry Level Graphic & Visual Design professional with experience in 3d texturing, image tracing.",$197-$636
"Graphic & Visual Design: package graphics, adobe premiere pro; General: agile, git",Intermediate,"Intermediate Graphic & Visual Design professional with experience in package graphics, adobe premiere pro.",$682-$1920
"Project Management: agile project management, lean consulting, project delivery; General: ",Entry Level,"Entry Level Project Management professional with experience in agile project management, lean consulting, project delivery.",$67-$512
"Mobile Development: mobile app design, mobile ui designer, android sdk, ionic framework; General: agile",Expert,"Expert Mobile Development professional with experience in mobile app design, mobile ui designer, android sdk, ionic framework.",$4716-$7605
"Translation & Languages: english to spanish translation, english to urdu translation, translation, english to persian translation; General: git, api",Entry Level,"Entry Level Translation & Languages professional with experience in english to spanish translation, english to urdu translation, translation, english to persian translation.",$108-$824
"Web Development: html, laravel; General: project management, api",Entry Level,"Entry Level Web Development professional with experience in html, laravel.",$166-$639
"Education & Training: training materials, elearning; General: project management, agile",Intermediate,"Intermediate Education & Training professional with experience in training materials, elearning.",$896-$2678
"Data Science: bigquery, model optimization, analytics, statistics; General: agile",Intermediate,"Intermediate Data Science professional with experience in bigquery, model optimization, analytics, statistics.",$1313-$2321
"Marketing & SEO: email marketing, linkedin marketing, influencer marketing; General: ",Intermediate,"Intermediate Marketing & SEO professional with experience in email marketing, linkedin marketing, influencer marketing.",$643-$2031
"Cybersecurity: ethical hacking, firewall, information security; General: sql, api",Expert,"Expert Cybersecurity professional with experience in ethical hacking, firewall, information security.",$2617-$7557
"Translation & Languages: english to swedish translation, yoruba, dutch to english translation; General: sql, api",Entry Level,"Entry Level Translation & Languages professional with experience in english to swedish translation, yoruba, dutch to english translation.",$103-$634
"Business & Consulting: business valuation, sales development, business presentation; General: agile, sql",Entry Level,"Entry Level Business & Consulting professional with experience in business valuation, sales development, business presentation.",$323-$708
"Project Management: kanban methodology, scrum master, milestones; General: ",Intermediate,"Intermediate Project Management professional with experience in kanban methodology, scrum master, milestones.",$1101-$1881
"Business & Consulting: business consulting, price & quote negotiation; General: git",Intermediate,"Intermediate Business & Consulting professional with experience in business consulting, price & quote negotiation.",$642-$2471
"Writing & Content Creation: book writing, content localization, content analysis; General: project management",Entry Level,"Entry Level Writing & Content Creation professional with experience in book writing, content localization, content analysis.",$183-$517
"DevOps: cloud architecture, azure cosmos db, azure blockchain service; General: ",Intermediate,"Intermediate DevOps professional with experience in cloud architecture, azure cosmos db, azure blockchain service.",$1186-$1539
"UI/UX Design: ux copy, user research, user interface design, responsive design; General: ",Expert,"Expert UI/UX Design professional with experience in ux copy, user research, user interface design, responsive design.",$3512-$7265
"UI/UX Design: visual communication, adobe xd, ui/ux prototyping, usability testing; General: git, api",Intermediate,"Intermediate UI/UX Design professional with experience in visual communication, adobe xd, ui/ux prototyping, usability testing.",$1125-$1968
"Database Management: database programming, data modeling, data warehousing; General: ",Expert,"Expert Database Management professional with experience in database programming, data modeling, data warehousing.",$2889-$8161
"Writing & Content Creation: copywriting, academic writing; General: git, api",Expert,"Expert Writing & Content Creation professional with experience in copywriting, academic writing.",$2837-$6061
"Project Management: project management, lean consulting; General: api, agile",Entry Level,"Entry Level Project Management professional with experience in project management, lean consulting.",$484-$588
"Graphic & Visual Design: color palette, photo retouching, adobe photoshop; General: api, sql",Intermediate,"Intermediate Graphic & Visual Design professional with experience in color palette, photo retouching, adobe photoshop.",$622-$2854
"Translation & Languages: english to czech translation, bulgarian, japanese to english translation; General: project management",Intermediate,"Intermediate Translation & Languages professional with experience in english to czech translation, bulgarian, japanese to english translation.",$710-$1776
"Business & Consulting: business consulting, strategy, business valuation, corporate social responsibility; General: ",Entry Level,"Entry Level Business & Consulting professional with experience in business consulting, strategy, business valuation, corporate social responsibility.",$253-$523
"Marketing & SEO: market research, content writing, analytics & tracking setup; General: ",Expert,"Expert Marketing & SEO professional with experience in market research, content writing, analytics & tracking setup.",$1944-$5496
"Marketing & SEO: seo audit, google optimize, organic traffic growth; General: ",Intermediate,"Intermediate Marketing & SEO professional with experience in seo audit, google optimize, organic traffic growth.",$872-$2234
"DevOps: cloud computing, azure cosmos db, deployment automation; General: git, agile",Entry Level,"Entry Level DevOps professional with experience in cloud computing, azure cosmos db, deployment automation.",$327-$664
"Data Science: data processing, report writing, model tuning; General: git",Expert,"Expert Data Science professional with experience in data processing, report writing, model tuning.",$2983-$8703
"Database Management: data modeling, sql server integration services, oracle database administration; General: sql, api",Intermediate,"Intermediate Database Management professional with experience in data modeling, sql server integration services, oracle database administration.",$1362-$2799
"Education & Training: academic editing, program evaluation, training presentation, bilingual education; General: project management",Expert,"Expert Education & Training professional with experience in academic editing, program evaluation, training presentation, bilingual education.",$3276-$8277
"Data Science: data science, statistics, artificial intelligence, hypothesis testing; General: ",Expert,"Expert Data Science professional with experience in data science, statistics, artificial intelligence, hypothesis testing.",$4775-$5726
"Education & Training: distance education, higher education; General: git, project management",Expert,"Expert Education & Training professional with experience in distance education, higher education.",$4833-$6228
